Period,Open,High,Low,Close,Index
12/1/2013,20771,21484,20569,21171,BSE
1/1/2014,21222,21410,20344,20514,BSE
2/1/2014,20479,21141,19963,21120,BSE
3/1/2014,21079,22467,20921,22386,BSE
4/1/2014,22455,22939,22198,22418,BSE
5/1/2014,22494,25376,22277,24217,BSE
6/1/2014,24369,25725,24270,25414,BSE
7/1/2014,25470,26300,24892,25895,BSE
8/1/2014,25754,26674,25233,26638,BSE
9/1/2014,26733,27355,26220,26631,BSE
10/1/2014,26681,27894,25911,27866,BSE
11/1/2014,27943,28822,27740,28694,BSE
12/1/2014,28748,28810,26469,27499,BSE
1/1/2015,27486,29844,26776,29183,BSE
2/1/2015,29144,29560,28044,29362,BSE
3/1/2015,29533,30025,27248,27957,BSE
4/1/2015,27955,29095,26898,27011,BSE
5/1/2015,27205,28071,26424,27828,BSE
6/1/2015,27771,27969,26307,27781,BSE
7/1/2015,27824,28578,27416,28115,BSE
8/1/2015,28089,28418,25298,26283,BSE
9/1/2015,26127,26472,24834,26155,BSE
10/1/2015,26344,27618,26169,26657,BSE
11/1/2015,26642,26824,25451,26146,BSE
12/1/2015,26201,26256,24868,26118,BSE
1/1/2016,26102,26197,23840,24871,BSE
2/1/2016,24982,25002,22495,23002,BSE
3/1/2016,23153,25480,23133,25342,BSE
4/1/2016,25302,26101,24523,25607,BSE
5/1/2016,25565,26837,25058,26668,BSE
6/1/2016,26684,27105,25911,27000,BSE
7/1/2016,27064,28240,27034,28052,BSE
8/1/2016,28083,28532,27628,28452,BSE
9/1/2016,28459,29077,27717,27866,BSE
10/1/2016,27997,28478,27488,27930,BSE
11/1/2016,27966,28030,25718,26653,BSE
12/1/2016,26757,26804,25754,26626,BSE
1/1/2017,26711,27980,26447,27656,BSE
2/1/2017,27669,29065,27590,28743,BSE
3/1/2017,28849,29825,28716,29621,BSE
4/1/2017,29738,30184,29241,29918,BSE
5/1/2017,30021,31255,29804,31146,BSE
6/1/2017,31117,31523,30681,30922,BSE
7/1/2017,31156,32673,31017,32515,BSE
8/1/2017,32580,32686,31128,31730,BSE
9/1/2017,31769,32524,31082,31284,BSE
10/1/2017,31538,33340,31440,33213,BSE
11/1/2017,33344,33866,32684,33149,BSE
12/1/2017,33248,34138,32565,34057,BSE
1/1/2018,34060,36444,33703,35965,BSE
2/1/2018,36049,36257,33483,34184,BSE
3/1/2018,34141,34279,32484,32969,BSE
4/1/2018,33031,35213,32973,35160,BSE
5/1/2018,35329,35994,34303,35322,BSE
6/1/2018,35374,35877,34785,35423,BSE
7/1/2018,35545,37645,35107,37607,BSE
8/1/2018,37644,38990,37129,38645,BSE
9/1/2018,38916,38934,35986,36227,BSE
10/1/2018,36274,36617,33292,34442,BSE
11/1/2018,34651,36389,34303,36194,BSE
12/1/2018,36397,36555,34426,36068,BSE
1/1/2019,36162,36284,35382,36010,BSE
